Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4031,Chemical Technicians,700,790,90,12.9,140,600,830,21.78,45300.00,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4061,Social Science Research Assistants,100,130,30,30.0,30,100,160,28.54,59365.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4091,"Environmental Science and Protection Technicians, Including Health",590,690,100,16.9,170,580,850,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4092,Forensic Science Technicians,210,250,40,19.0,60,210,310,45.19,93995.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4099,"Life, Physical, and Social Science Technicians, All Other",850,1020,170,20.0,260,850,1280,23.51,48902.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,21-0000,Community and Social Service Occupations,25680,29610,3930,15.3,9540,19580,33050,24.96,51921.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",22930,26670,3740,16.3,8150,17600,29490,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1012,"Educational, Guidance, School, and Vocational Counselors",2740,3010,270,9.9,930,2010,3210,34.60,71963.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1013,Marriage and Family Therapists,3380,4310,930,27.5,1250,2690,4870,25.12,52252.00,Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1015,Rehabilitation Counselors,1180,1300,120,10.2,400,870,1390,14.69,30554.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",4270,5420,1150,26.9,1570,3390,6110,23.49,48872.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1019,"Counselors, All Other",250,280,30,12.0,90,180,300,21.34,44389.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1021,"Child, Family, and School Social Workers",2470,2640,170,6.9,760,1740,2670,25.71,53481.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1022,Healthcare Social Workers,1630,1910,280,17.2,520,1200,2000,35.33,73490.00,Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1023,Mental Health and Substance Abuse Social Workers,660,750,90,13.6,210,480,780,23.69,49265.00,Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1029,"Social Workers, All Other",1010,1090,80,7.9,310,710,1100,40.05,83309.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1091,Health Educators,600,640,40,6.7,230,470,740,26.86,55870.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1092,Probation Officers and Correctional Treatment Specialists,430,450,20,4.7,100,280,400,46.92,97594.00,Bachelor's degree,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1093,Social and Human Service Assistants,2980,3440,460,15.4,1280,2530,4270,20.02,41649.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1094,Community Health Workers,250,270,20,8.0,100,200,320,20.86,43391.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-1099,"Community and Social Service Specialists, All Other",1090,1170,80,7.3,420,850,1350,23.52,48923.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,21-2000,Religious Workers,2750,2940,190,6.9,1380,1980,3550,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-2011,Clergy,1180,1260,80,6.8,530,790,1400,22.91,47651.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-2021,"Directors, Religious Activities and Education",1080,1150,70,6.5,550,830,1450,27.60,57411.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,21-2099,"Religious Workers, All Other",500,530,30,6.0,300,370,700,16.73,34800.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,23-0000,Legal Occupations,15590,17200,1610,10.3,4220,6880,12710,53.79,111887.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,23-1000,"Lawyers, Judges, and Related Workers",9980,10900,920,9.2,2230,2770,5920,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-1011,Lawyers,9470,10350,880,9.3,2130,2620,5630,91.41,190140.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-1012,Judicial Law Clerks,110,120,10,9.1,20,40,70,27.09,56337.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",200,210,10,5.0,40,50,100,0.00,0.00,Doctoral or professional degree,≥5 years,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-1023,"Judges, Magistrate Judges, and Magistrates",130,140,10,7.7,30,40,80,0.00,0.00,Doctoral or professional degree,≥5 years,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,23-2000,Legal Support Workers,5610,6310,700,12.5,1990,4110,6800,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-2011,Paralegals and Legal Assistants,4470,5100,630,14.1,1600,3470,5700,26.59,55308.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-2093,"Title Examiners, Abstractors, and Searchers",450,490,40,8.9,160,260,460,25.05,52100.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,23-2099,"Legal Support Workers, All Other",640,680,40,6.3,220,370,630,27.03,56214.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,25-0000,"Education, Training, and Library Occupations",89370,95950,6580,7.4,39770,45930,92280,28.91,60130.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,25-1000,Postsecondary Teachers,15890,17270,1380,8.7,6100,7610,15090,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1011,"Business Teachers, Postsecondary",500,580,80,16.0,200,250,530,0.00,116137.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1021,"Computer Science Teachers, Postsecondary",200,220,20,10.0,80,100,200,0.00,135718.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1022,"Mathematical Science Teachers, Postsecondary",420,440,20,4.8,160,200,380,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1032,"Engineering Teachers, Postsecondary",140,150,10,7.1,50,70,130,0.00,114068.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1042,"Biological Science Teachers, Postsecondary",380,430,50,13.2,150,190,390,0.00,129458.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",120,120,0,0.0,40,50,90,0.00,132504.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1052,"Chemistry Teachers, Postsecondary",180,190,10,5.6,70,90,170,0.00,123340.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1054,"Physics Teachers, Postsecondary",100,100,0,0.0,40,50,90,0.00,125307.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1066,"Psychology Teachers, Postsecondary",360,400,40,11.1,140,170,350,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1067,"Sociology Teachers, Postsecondary",120,130,10,8.3,50,60,120,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1069,"Social Sciences Teachers, Postsecondary, All Other",120,120,0,0.0,50,60,110,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1071,"Health Specialties Teachers, Postsecondary",1180,1490,310,26.3,490,610,1410,0.00,127467.00,Doctoral or professional degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1072,"Nursing Instructors and Teachers, Postsecondary",370,450,80,21.6,150,190,420,0.00,0.00,Doctoral or professional degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1081,"Education Teachers, Postsecondary",440,480,40,9.1,170,210,420,0.00,104403.00,Doctoral or professional degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",150,170,20,13.3,60,70,150,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1121,"Art, Drama, and Music Teachers, Postsecondary",950,1010,60,6.3,360,450,870,0.00,118738.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1122,"Communications Teachers, Postsecondary",270,280,10,3.7,100,130,240,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1123,"English Language and Literature Teachers, Postsecondary",570,600,30,5.3,220,270,520,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1124,"Foreign Language and Literature Teachers, Postsecondary",270,290,20,7.4,100,130,250,0.00,0.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1125,"History Teachers, Postsecondary",160,170,10,6.3,60,80,150,0.00,105402.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1126,"Philosophy and Religion Teachers, Postsecondary",170,190,20,11.8,70,80,170,0.00,103406.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1191,Graduate Teaching Assistants,1950,2110,160,8.2,750,930,1840,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",170,170,0,0.0,60,80,140,0.00,114876.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-1194,"Vocational Education Teachers, Postsecondary",960,1020,60,6.3,360,450,870,56.03,116536.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",34430,36140,1710,5.0,11300,16140,29150,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2011,"Preschool Teachers, Except Special Education",5160,5410,250,4.8,2090,3210,5550,15.41,32055.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2012,"Kindergarten Teachers, Except Special Education",1040,1090,50,4.8,420,650,1120,0.00,85041.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2021,"Elementary School Teachers, Except Special Education",13760,14460,700,5.1,4390,6020,11110,0.00,97342.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2010,2120,110,5.5,640,880,1630,0.00,99333.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",8300,8730,430,5.2,2360,3600,6390,0.00,92107.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2032,"Career/Technical Education Teachers, Secondary School",320,330,10,3.1,90,140,240,0.00,88279.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",2170,2260,90,4.1,730,930,1750,0.00,94140.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2053,"Special Education Teachers, Middle School",180,190,10,5.6,60,80,150,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-2054,"Special Education Teachers, Secondary School",1300,1360,60,4.6,440,560,1060,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,25-3000,Other Teachers and Instructors,19300,21790,2490,12.9,11860,11560,25910,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,450,420,-30,-6.7,250,250,470,56.84,118234.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-3021,Self-Enrichment Education Teachers,3500,4100,600,17.1,2190,2140,4930,17.39,36159.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",8160,9640,1480,18.1,5140,5010,11630,0.00,31250.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-3098,Substitute Teachers,7190,7640,450,6.3,4280,4170,8900,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,25-4000,"Librarians, Curators, and Archivists",1570,1600,30,1.9,1130,910,2070,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-4021,Librarians,600,650,50,8.3,340,290,680,0.00,0.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-4031,Library Technicians,840,800,-40,-4.8,730,530,1220,22.65,47111.00,Postsecondary non-degree award,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,25-9000,"Other Education, Training, and Library Occupations",18180,19150,970,5.3,9380,9720,20070,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-9011,Audio-Visual and Multimedia Collections Specialists,160,170,10,6.3,70,80,160,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-9031,Instructional Coordinators,1380,1500,120,8.7,600,740,1460,37.06,77078.00,Master's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-9041,Teacher Assistants,13740,14410,670,4.9,7470,7360,15500,0.00,0.00,"Some college, no degree",None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,25-9099,"Education, Training, and Library Workers, All Other",2900,3070,170,5.9,1240,1530,2940,25.49,53010.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",33800,36610,2810,8.3,13970,24820,41600,26.52,55157.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,27-1000,Art and Design Workers,14470,14890,420,2.9,5350,9570,15340,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1011,Art Directors,1550,1550,0,0.0,790,890,1680,56.57,117652.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",460,480,20,4.3,240,270,530,38.30,79682.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1014,Multimedia Artists and Animators,1000,1050,50,5.0,520,590,1160,32.83,68282.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1021,Commercial and Industrial Designers,690,720,30,4.3,230,480,740,43.76,91012.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1022,Fashion Designers,780,830,50,6.4,260,540,850,37.72,78461.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1023,Floral Designers,280,260,-20,-7.1,90,180,250,17.71,36844.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1024,Graphic Designers,3600,3730,130,3.6,1190,2460,3780,28.80,59913.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1025,Interior Designers,1570,1640,70,4.5,520,1080,1670,28.40,59065.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,27-1027,Set and Exhibit Designers,340,380,40,11.8,120,240,400,30.70,63876.00,Bachelor's degree,None,None
